ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
,20250704,143.11,145.18,138.55,139.45,142.26,-2.81,-1.9753,418744.79,5927014.308
,20250707,137.5,139.77,130.21,135.15,139.45,-4.3,-3.0835,575204.24,7722491.415
,20250708,134.76,145.26,133.82,144.88,135.15,9.73,7.1994,532241.12,7500377.252
,20250709,145.0,149.36,144.05,145.3,144.88,0.42,0.2899,415095.61,6085220.987
,20250710,146.52,148.68,142.0,146.59,145.3,1.29,0.8878,435403.97,6336658.699
,20250711,144.74,147.88,142.55,145.28,146.59,-1.31,-0.8936,310988.62,4513795.973
,20250714,144.33,150.5,144.33,149.82,145.28,4.54,3.125,388531.91,5781039.353
,20250715,155.3,174.99,155.3,174.81,149.82,24.99,16.68,924064.24,15619206.714
,20250716,179.8,181.97,169.67,170.76,174.81,-4.05,-2.3168,905851.77,15982905.351
,20250717,169.19,178.99,169.17,176.85,170.76,6.09,3.5664,604630.77,10555310.877
,20250718,181.18,192.01,179.0,180.62,176.85,3.77,2.1318,611562.21,11298766.458
,20250721,179.89,188.4,177.18,187.95,180.62,7.33,4.0582,596835.09,10909835.929
,20250722,187.1,197.1,181.4,184.44,187.95,-3.51,-1.8675,592912.85,11209847.411
,20250723,179.0,187.88,176.0,186.18,184.44,1.74,0.9434,405783.73,7395940.402
,20250724,190.5,192.96,181.67,185.2,186.18,-0.98,-0.5264,442080.06,8263192.06
,20250725,186.0,189.9,184.51,185.22,185.2,0.02,0.0108,287877.43,5368796.807
,20250728,186.0,193.23,184.2,191.87,185.22,6.65,3.5903,438947.65,8281245.573
,20250729,198.01,210.99,198.01,209.93,191.87,18.06,9.4126,584403.68,12100039.459
,20250730,207.06,211.8,203.59,210.6,209.93,0.67,0.3192,390505.74,8122926.811
,20250731,221.0,228.6,215.93,217.61,210.6,7.01,3.3286,644065.94,14274550.601
,20250801,212.52,220.88,207.63,210.63,217.61,-6.98,-3.2076,475946.74,10151901.432
,20250804,207.53,210.34,204.5,208.42,210.63,-2.21,-1.0492,330837.39,6857077.166
,20250805,216.5,218.37,203.5,210.92,208.42,2.5,1.1995,414137.57,8698318.762
,20250806,206.71,213.58,206.61,210.52,210.92,-0.4,-0.1896,255301.56,5366654.09
,20250807,210.52,216.0,197.2,208.46,210.52,-2.06,-0.9785,453076.51,9320003.539
,20250808,207.0,213.88,205.0,209.3,208.46,0.84,0.403,327315.08,6886805.779
,20250811,210.0,220.5,209.99,214.75,209.3,5.45,2.6039,350762.52,7548075.951
,20250812,215.0,226.39,213.0,225.68,214.75,10.93,5.0896,430829.31,9534149.021
,20250813,226.75,252.96,224.0,252.0,225.68,26.32,11.6625,551265.47,13273577.994
,20250814,246.4,248.09,239.4,239.47,252.0,-12.53,-4.9722,407601.33,9927494.343
,20250815,241.47,245.45,235.11,238.05,239.47,-1.42,-0.593,350540.8,8382671.265
,20250818,241.62,268.0,238.08,260.0,238.05,21.95,9.2208,469849.79,11956921.107
,20250819,260.0,277.58,258.9,275.5,260.0,15.5,5.9615,409789.34,11069282.565
,20250820,261.99,269.0,257.41,267.79,275.5,-7.71,-2.7985,408197.32,10773818.99
,20250821,272.8,274.6,256.1,265.22,267.79,-2.57,-0.9597,394435.93,10428978.809
,20250822,259.11,280.88,259.0,278.9,265.22,13.68,5.158,382581.65,10408840.534
,20250825,288.0,320.0,288.0,320.0,278.9,41.1,14.7365,498061.31,15236503.898
,20250826,313.6,322.8,306.0,314.0,320.0,-6.0,-1.875,361919.21,11402947.512
,20250827,320.0,345.9,311.31,325.1,314.0,11.1,3.535,610746.35,20077028.381
,20250828,322.87,359.58,322.45,359.03,325.1,33.93,10.4368,583916.43,20116514.922
,20250829,352.0,367.7,344.97,354.92,359.03,-4.11,-1.1448,490333.1,17315300.339
,20250901,372.75,413.8,364.0,406.1,354.92,51.18,14.4202,598650.89,23173867.536
,20250902,402.02,419.6,373.87,384.0,406.1,-22.1,-5.442,784127.3,31063167.519
,20250903,392.0,429.99,379.1,426.19,384.0,42.19,10.987,712351.78,28716626.618
,20250904,436.0,448.0,363.88,369.14,426.19,-57.05,-13.386,939056.71,36731803.946
,20250905,378.02,418.88,361.72,407.0,369.14,37.86,10.2563,792550.67,30591669.08
,20250908,394.0,394.0,344.0,369.99,407.0,-37.01,-9.0934,741116.48,27097510.063
,20250909,365.02,372.61,347.0,359.29,369.99,-10.7,-2.892,480631.09,17329017.117
,20250910,378.0,395.48,370.58,385.0,359.29,25.71,7.1558,620102.39,23749946.61
,20250911,402.19,443.99,402.19,439.97,385.0,54.97,14.2779,656801.63,27786933.615
,20250912,417.0,431.99,410.0,422.09,439.97,-17.88,-4.0639,472505.65,19984616.455
,20250915,410.0,419.97,397.64,408.02,422.09,-14.07,-3.3334,357525.41,14621407.478
,20250916,410.03,421.97,396.22,411.42,408.02,3.4,0.8333,442532.63,17975150.667
,20250917,405.0,412.98,391.11,406.2,411.42,-5.22,-1.2688,324316.21,13067610.633
